age,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
47,174995,11,9,6,3,1,4,0,0,0,30,37
44,26669,8,11,6,3,4,4,0,0,0,30,37
33,177727,11,9,2,11,0,4,1,0,0,40,37
55,124771,9,13,2,3,0,4,1,15024,0,50,37
19,456736,11,9,4,11,1,4,1,2907,0,30,37
28,216604,15,10,4,7,1,2,1,0,0,14,37
27,221561,1,7,2,7,5,2,0,0,0,32,37
50,114564,5,4,2,6,0,4,1,0,0,20,37
22,315476,1,7,4,2,4,4,1,0,0,40,37
40,67874,9,13,2,0,0,4,1,0,1887,45,37
25,126110,15,10,4,0,3,4,0,0,0,40,37
26,102264,11,9,4,2,1,4,1,0,0,40,37
22,537222,9,13,4,11,1,4,1,0,0,25,37
42,113732,15,10,4,5,4,2,0,0,625,40,37
38,93225,9,13,0,3,1,4,1,0,0,40,37
55,43064,1,7,2,7,0,4,1,0,0,30,37
32,136921,11,9,2,11,0,4,1,0,0,40,37
22,388885,11,9,2,2,0,4,1,0,0,45,37
29,142249,9,13,4,11,3,4,1,0,0,40,37
46,56841,12,14,2,3,0,4,1,0,0,45,37
31,156493,15,10,2,3,0,4,1,0,0,40,37
58,159021,10,16,2,9,0,4,1,0,0,16,37
42,190910,11,9,2,2,0,4,1,0,0,45,37
18,41879,11,9,4,5,4,4,1,0,0,25,37
58,137249,11,9,0,3,1,4,1,0,0,33,37
54,236157,11,9,2,9,0,4,1,0,1887,40,37
34,189759,12,14,4,9,1,4,1,0,0,40,37
26,239877,9,13,4,0,1,4,0,0,0,40,37
61,21175,2,8,2,3,0,4,1,0,0,60,37
48,67229,12,14,5,0,4,2,0,0,0,40,37
36,236391,15,10,2,3,0,4,1,0,0,45,37
24,325596,8,11,2,6,0,4,1,0,0,45,37
40,83411,15,10,2,6,0,4,1,0,0,37,37
33,154227,11,9,2,11,0,4,1,0,0,50,37
37,248010,15,10,2,6,0,4,1,0,1887,40,37
34,198613,12,14,4,3,3,4,1,4650,0,40,37
56,321529,15,10,2,3,0,4,1,15024,0,40,37
28,168524,11,9,2,9,3,4,0,0,0,38,37
37,203079,9,13,6,3,1,4,0,0,0,55,37
44,284652,11,9,0,11,4,2,0,0,0,40,37
64,201368,15,10,2,9,0,4,1,0,0,8,37
54,59840,11,9,0,5,1,4,1,0,0,45,37
23,52753,11,9,4,6,1,4,1,0,0,50,37
34,513100,9,13,3,4,1,2,1,0,0,40,37
22,199266,11,9,4,7,1,4,0,0,0,45,37
33,196385,9,13,2,3,0,4,1,0,1977,40,37
39,163205,9,13,5,9,1,4,1,0,0,50,37
47,411047,15,10,0,0,1,2,0,0,0,37,37
79,48574,5,4,6,9,1,4,1,0,0,40,37
26,209440,11,9,4,9,4,2,0,0,0,55,37
31,56964,15,10,0,3,4,4,0,0,0,40,37
44,299197,15,10,4,13,1,4,1,0,0,45,37
42,240628,14,15,2,9,5,4,0,0,0,50,37
19,355313,11,9,4,6,1,4,0,0,0,40,37
27,132267,11,9,2,5,0,4,1,0,0,40,37
51,174861,15,10,2,10,0,4,1,0,0,40,37
28,142443,9,13,2,3,0,4,1,0,0,50,37
57,26716,9,13,0,2,1,4,1,0,0,45,37
45,185588,9,13,0,9,4,4,0,0,0,40,37
50,175029,8,11,2,9,0,4,1,0,0,40,37
34,34848,9,13,2,11,0,4,1,0,0,54,37
45,411273,5,4,2,2,0,2,1,0,0,40,37
73,143437,11,9,2,3,0,4,1,0,0,20,37
34,357145,9,13,2,9,5,4,0,0,0,50,37
31,236861,15,10,2,11,0,4,1,0,0,55,37
19,53355,1,7,4,11,1,4,1,0,0,12,37
25,29106,15,10,4,7,3,4,0,0,0,50,37
38,213274,8,11,0,2,4,4,0,6497,0,40,37
39,22463,9,13,2,13,0,4,1,0,0,40,37
23,180497,9,13,4,12,3,2,0,0,0,32,37
49,37306,11,9,2,6,0,4,1,0,0,40,37
33,137814,11,9,4,7,1,4,1,0,0,32,37
21,447488,4,3,4,6,2,4,1,0,0,38,24
31,220915,8,11,5,2,1,4,1,0,0,40,37
23,42251,9,13,4,3,1,4,0,0,0,45,37
34,162312,9,13,2,0,0,1,1,0,0,40,28
25,77698,11,9,4,6,1,1,0,0,0,40,28
39,282951,11,9,4,2,4,4,1,0,0,40,37
52,311259,11,9,2,11,0,4,1,0,0,40,37
63,65479,6,5,2,13,0,4,1,7688,0,40,37
41,277256,15,10,2,2,0,4,1,0,0,40,37
46,312088,9,13,2,9,0,4,1,15024,0,38,37
53,169719,11,9,2,3,0,4,1,0,0,40,37
25,270276,6,5,5,9,1,4,0,1055,0,40,37
77,172744,15,10,2,9,0,4,1,0,0,35,37
18,96869,2,8,4,8,3,4,1,0,0,40,37
38,237943,14,15,2,9,0,4,1,0,0,50,37
55,119751,12,14,4,3,4,1,0,0,0,50,35
34,236861,11,9,2,12,0,4,1,0,0,40,37
80,201092,11,9,2,7,0,4,1,0,0,30,37
34,147215,8,11,0,12,4,4,0,0,0,60,37
52,152373,15,10,2,12,0,4,1,5013,0,40,37
42,227968,11,9,4,7,4,2,0,0,0,28,13
26,362617,15,10,4,11,1,4,0,0,0,40,37
31,103435,11,9,2,13,0,4,1,0,0,40,37
25,281412,11,9,4,7,3,4,0,0,0,35,37
55,105239,11,9,2,2,0,4,1,0,2057,60,37
19,230165,15,10,4,7,3,4,0,0,0,12,37
62,177493,15,10,2,13,0,4,1,0,0,32,37
22,104443,15,10,4,0,3,4,0,0,0,20,37
39,110342,11,9,2,9,5,4,0,0,0,50,37
35,143385,11,9,2,5,0,4,1,0,0,40,37
28,107189,11,9,2,11,3,4,0,0,0,40,37
47,212944,11,9,2,13,0,4,1,0,0,70,37
44,138634,11,9,2,6,0,4,1,0,0,40,37
21,99970,15,10,4,11,3,4,1,0,0,15,37
35,203717,8,11,4,2,1,4,1,0,0,50,37
24,313956,9,13,2,9,0,4,1,0,0,40,37
42,177937,9,13,4,9,1,4,1,0,0,40,37
28,193868,9,13,4,12,3,4,1,0,0,50,37
21,250939,15,10,4,6,2,4,1,0,0,35,37
62,57629,15,10,0,12,1,2,1,4650,0,40,37
39,281768,11,9,4,7,1,2,0,0,0,40,37
30,260782,11,9,4,7,1,4,1,0,0,40,37
72,243769,14,15,4,9,1,4,1,0,1429,20,37
50,109937,15,10,2,3,5,4,0,0,0,50,37
28,134890,12,14,4,9,1,4,1,0,0,40,37
29,100293,15,10,4,9,1,4,0,0,0,40,37
26,132179,9,13,4,0,3,4,0,0,0,40,37
27,116372,12,14,4,3,1,4,0,0,0,40,37
29,255412,15,10,2,5,0,4,1,3103,0,40,37
61,195789,11,9,2,9,0,4,1,0,0,40,37
29,342400,0,6,2,2,0,4,1,0,0,25,37
21,65481,15,10,4,9,3,4,0,0,0,30,37
31,169085,1,7,2,11,5,4,0,0,0,20,37
25,177221,11,9,2,3,0,4,1,0,0,75,37
58,65325,0,6,2,13,0,4,1,0,0,40,37
64,118944,15,10,2,3,5,4,0,0,0,40,37
46,149337,12,14,4,3,1,4,1,0,0,38,37
53,237868,11,9,2,9,0,4,1,0,0,35,37
19,106183,11,9,4,7,3,0,0,0,0,35,37
42,226388,11,9,0,7,1,2,1,0,0,52,37
18,220754,1,7,4,5,3,4,1,0,0,24,37
58,204021,9,13,2,2,0,4,1,15024,0,50,37
20,347391,15,10,4,10,1,2,1,0,0,60,37
35,413930,11,9,2,2,0,4,1,0,0,40,37
32,174201,11,9,2,5,0,4,1,0,0,38,37
23,145917,11,9,4,5,1,4,0,0,0,25,37
31,241797,15,10,0,12,4,4,0,0,0,40,37
33,265168,9,13,2,11,0,2,1,0,0,55,37
41,171234,15,10,4,6,1,4,0,0,0,48,37
22,178452,11,9,4,6,3,2,1,0,0,40,37
46,157857,15,10,2,10,0,4,1,0,0,40,37
61,512864,15,10,2,13,0,2,1,0,0,40,37
30,296462,11,9,4,3,1,2,1,0,0,40,37
42,171615,11,9,2,3,0,4,1,0,0,55,37
63,214071,0,6,2,5,0,4,1,0,0,40,37
26,172421,15,10,2,11,0,4,1,0,0,40,37
42,195488,0,6,0,0,4,4,0,0,0,40,37
23,316841,15,10,2,7,0,4,1,0,0,40,37
25,236267,11,9,4,6,4,4,1,0,1590,40,37
30,236543,6,5,2,7,0,4,1,0,0,32,7
23,318483,11,9,4,11,3,4,1,0,0,40,37
34,163756,8,11,4,4,1,4,1,27828,0,60,37
30,238186,11,9,2,6,2,4,1,0,2057,48,37
39,329980,15,10,2,2,0,4,1,0,0,40,37
30,169269,1,7,4,5,2,4,1,0,1721,38,31
38,34744,15,10,0,0,4,4,0,0,0,38,37
26,98114,11,9,0,3,3,4,0,0,0,40,37
20,109667,15,10,4,5,3,4,1,0,0,16,37
37,263690,9,13,4,9,4,2,1,0,0,40,37
33,147430,11,9,2,0,3,4,0,0,0,40,37
24,224238,9,13,4,0,3,4,1,0,0,40,37
42,212894,9,13,2,3,0,4,1,0,0,60,37
51,136708,11,9,2,11,0,1,1,3103,0,84,38
56,38573,7,12,2,12,0,4,1,0,0,45,37
22,197200,15,10,4,5,3,4,1,0,0,40,37
52,182796,15,10,2,4,0,4,1,0,0,60,37
44,184527,9,13,0,3,4,4,0,4934,0,45,37
34,145231,11,9,2,0,5,4,0,4064,0,35,37
51,43354,15,10,0,2,1,4,1,0,0,42,37
20,318865,15,10,4,9,1,4,1,0,0,40,37
19,355712,15,10,4,11,1,4,0,0,0,25,37
37,98776,9,13,2,3,0,4,1,0,0,40,37
68,257557,11,9,2,6,0,2,1,0,0,40,37
22,102258,15,10,0,10,1,4,1,0,0,40,37
56,170287,9,13,2,3,0,4,1,0,0,40,37
37,243409,11,9,2,2,0,4,1,0,0,40,37
52,55608,3,2,2,6,0,4,1,0,0,40,24
26,248057,11,9,5,5,3,4,1,0,0,40,31
33,95530,12,14,2,9,0,4,1,0,0,50,37
45,54038,12,14,0,9,4,4,0,0,0,42,37
18,161245,1,7,4,7,3,4,1,0,0,15,37
43,388725,15,10,2,4,0,4,1,0,0,60,37
64,71807,10,16,2,9,0,4,1,15024,0,50,37
18,228216,11,9,4,5,3,4,1,0,0,20,37
20,303121,15,10,4,9,3,4,1,0,0,45,37
57,78020,11,9,2,2,0,4,1,0,0,40,37
41,249254,11,9,0,0,4,4,0,3674,0,42,37
34,87218,12,14,2,3,0,4,1,0,1887,50,37
19,304299,11,9,4,11,4,4,0,0,0,40,37
44,196234,6,5,0,7,4,4,0,0,0,55,5
56,197875,0,6,6,7,4,4,0,0,0,40,37
36,48063,11,9,2,4,0,4,1,0,0,80,37
48,253596,9,13,0,3,4,4,0,0,0,48,37
29,39257,11,9,2,13,0,4,1,0,0,40,37
33,56150,9,13,4,2,1,4,1,2174,0,40,37
31,179415,4,3,2,7,0,4,1,0,0,40,24
39,252445,12,14,2,9,0,4,1,0,0,45,37
66,275918,11,9,2,3,0,4,1,10605,0,40,37
27,106562,9,13,4,9,1,4,0,0,0,50,37
39,198654,11,9,0,3,4,2,0,99999,0,40,37
59,107318,5,4,2,2,0,4,1,5178,0,50,37
26,181896,11,9,4,7,3,4,0,0,0,40,37
31,106014,8,11,0,2,4,4,1,0,0,40,37
45,319993,11,9,6,9,4,4,0,0,0,40,24
23,197997,11,9,4,5,3,4,1,0,0,30,37
36,173542,11,9,0,0,4,4,0,0,0,40,37
34,207564,15,10,2,7,5,4,0,0,0,12,37
32,224462,11,9,2,13,0,4,1,0,0,84,37
37,123361,9,13,2,9,0,2,1,0,0,50,37
33,90409,9,13,4,11,1,4,1,0,0,45,37
50,165001,14,15,2,9,0,4,1,99999,0,80,37
32,149573,7,12,4,10,1,2,1,0,0,40,37
35,249456,9,13,4,0,3,2,0,0,0,40,37
37,149898,1,7,2,2,0,4,1,0,0,40,37
44,292985,15,10,0,2,1,4,1,0,0,60,37
57,50223,15,10,0,5,2,4,1,0,0,25,37
29,400074,15,10,2,3,3,4,0,0,0,40,37
55,197399,11,9,2,2,0,4,1,0,0,50,37
43,209547,14,15,2,9,0,4,1,0,0,25,37
43,52433,15,10,2,11,0,4,1,0,0,70,37
45,355978,15,10,2,11,0,4,1,0,0,60,37
33,48214,12,14,2,9,5,4,0,0,0,8,37
26,190873,0,6,0,7,4,4,0,0,0,40,10
23,278390,15,10,2,11,0,4,1,0,0,68,37
41,203217,5,4,5,2,1,4,1,0,0,40,24
24,279175,11,9,2,2,0,4,1,0,0,40,37
47,194590,9,13,2,11,0,4,1,0,0,44,37
34,198813,11,9,4,2,3,4,1,0,0,45,37
40,187294,11,9,2,3,0,4,1,0,0,40,37
28,302903,9,13,2,9,5,1,0,0,1485,40,37
24,154835,11,9,4,3,3,1,0,0,0,40,33
73,73402,15,10,2,9,0,4,1,0,0,10,37
23,100345,11,9,4,2,2,4,1,0,0,15,37
43,126320,11,9,2,3,0,2,1,0,0,40,37
26,142226,9,13,0,12,1,4,0,0,0,40,37
58,112076,10,16,1,3,5,4,0,0,1485,35,37
52,225339,11,9,6,0,4,2,0,0,0,35,37
29,211208,1,7,2,13,0,4,1,0,0,99,37
47,200808,1,7,2,7,0,4,1,0,0,35,3
49,220618,11,9,0,0,4,2,0,0,0,37,37
40,210493,1,7,6,0,4,4,0,0,0,40,37
62,369734,11,9,2,0,5,4,0,0,0,40,37
49,27898,11,9,2,3,0,4,1,0,1977,55,37
50,138193,9,13,0,9,2,4,0,0,0,50,37
31,224234,11,9,4,13,3,2,1,0,0,40,37
48,188741,12,14,4,9,1,4,0,0,0,50,37
24,183772,11,9,4,2,4,4,0,0,0,40,37
41,155041,11,9,4,9,3,4,0,3418,0,40,37
37,79586,11,9,5,6,3,1,1,0,0,60,37
45,355781,9,13,2,3,0,1,1,0,0,45,22
63,156158,11,9,2,9,0,4,1,0,0,16,37
36,116358,12,14,2,3,0,1,1,0,0,45,17
45,59287,9,13,2,3,0,4,1,0,0,40,37
41,138868,9,13,4,11,1,4,0,0,0,40,37
26,185885,7,12,4,12,2,4,0,0,0,20,37
17,40299,1,7,4,11,3,4,0,0,0,25,37
27,500068,11,9,2,7,0,4,1,0,0,36,37
43,51494,11,9,2,6,0,4,1,0,0,65,37
35,179481,11,9,4,13,3,4,1,0,0,55,37
38,365907,9,13,0,0,4,4,0,0,0,40,37
26,284343,11,9,4,6,1,4,1,0,0,40,37
28,204862,15,10,4,3,3,4,0,0,0,40,37
38,272476,9,13,2,9,5,4,0,0,0,24,37
36,175130,1,7,0,13,4,4,0,0,0,40,37
33,118941,11,9,2,0,5,4,0,0,0,40,37
19,164339,11,9,4,5,3,4,1,1055,0,70,37
22,213291,7,12,4,9,3,4,1,0,0,25,37
42,55457,0,6,2,0,0,4,1,0,0,40,24
50,280292,0,6,2,13,0,4,1,0,0,40,37
30,446894,11,9,2,5,0,4,1,0,0,30,37
37,67083,15,10,2,9,2,1,1,0,0,40,0
54,159219,14,15,2,9,0,4,1,99999,0,40,37
52,168539,9,13,4,3,1,4,1,0,0,40,37
65,88145,3,2,2,5,0,3,1,0,0,40,37
33,150309,11,9,0,2,1,4,0,0,0,40,37
25,122999,15,10,4,12,2,4,1,0,0,40,37
24,302195,9,13,4,11,1,4,1,0,0,45,37
26,210982,8,11,5,0,4,2,0,114,0,40,37
39,177140,11,9,5,0,1,4,1,0,0,40,37
59,113838,11,9,0,7,1,4,0,0,0,40,37
29,97165,15,10,4,0,4,4,0,0,0,40,37
47,104301,1,7,4,7,3,4,0,0,0,45,37
23,192028,15,10,4,9,3,4,0,0,0,35,37
64,115931,11,9,2,13,0,4,1,0,0,50,37
21,147280,11,9,4,7,3,3,1,0,0,20,37
32,185433,15,10,2,0,5,2,0,0,0,40,37
26,599057,11,9,4,3,1,2,0,0,0,37,37
19,50626,15,10,4,9,3,2,0,0,0,20,37
62,71467,12,14,2,9,0,4,1,0,0,40,37
32,183977,9,13,2,2,0,4,1,0,0,55,37
75,26586,0,6,3,9,1,4,0,0,0,5,37
45,196858,11,9,2,3,0,4,1,0,0,60,37
31,160594,9,13,2,3,0,4,1,0,1887,50,37
32,65278,11,9,2,0,0,4,1,2580,0,40,37
24,102258,9,13,2,11,0,4,1,0,0,40,37
25,196947,9,13,4,11,3,4,0,0,0,40,37
41,233150,11,9,2,3,0,4,1,0,0,60,37
18,42857,15,10,4,11,3,4,0,0,0,20,37
44,118059,10,16,2,9,0,4,1,0,0,55,37
40,169262,15,10,2,3,0,4,1,3411,0,50,37
27,95108,9,13,4,9,1,4,1,0,0,40,37
23,161092,9,13,4,0,3,4,1,0,0,40,37
21,345253,15,10,4,0,1,3,1,2174,0,40,37
37,111275,11,9,2,13,0,4,1,0,0,40,37
65,178878,11,9,2,4,0,4,1,0,0,48,37
43,157237,12,14,2,9,0,4,1,0,0,40,37
45,155664,11,9,4,0,1,4,1,0,0,44,37
24,322658,9,13,4,3,1,4,0,0,0,40,37
24,208503,15,10,4,6,1,4,1,0,0,42,37
19,223326,15,10,4,10,3,4,1,0,1721,35,37
37,20308,9,13,2,9,0,4,1,0,0,65,37
24,124751,11,9,4,0,3,4,0,0,0,35,37
34,113364,15,10,2,6,0,4,1,0,0,40,10
50,196900,11,9,2,7,5,4,0,0,0,39,37
36,168170,11,9,2,2,0,4,1,0,0,40,31
39,205338,9,13,2,11,0,4,1,0,0,60,37
44,98806,5,4,2,2,0,4,1,0,0,38,37
45,226452,11,9,2,7,0,4,1,0,0,40,37
32,479179,1,7,4,10,3,4,1,0,0,40,37
47,471990,12,14,2,3,0,2,1,0,0,40,37
50,44728,11,9,2,6,0,4,1,0,0,40,37
32,33117,8,11,2,7,0,4,1,0,0,40,37
19,264876,11,9,4,5,3,4,1,0,0,40,37
19,47235,15,10,4,9,3,4,0,0,0,20,37
28,293628,12,14,0,9,1,4,1,0,0,10,37
28,193122,11,9,0,11,2,4,1,0,0,50,37
39,149347,12,14,4,9,1,4,1,0,0,40,29
21,129172,15,10,4,7,1,4,1,2907,0,40,37
73,151255,15,10,6,4,1,4,0,0,0,75,37
39,98886,5,4,2,7,0,4,1,4508,0,40,24
25,238673,15,10,4,6,1,4,1,0,0,40,37
31,137991,15,10,1,11,5,4,0,0,0,20,37
51,85942,15,10,0,11,1,4,0,0,0,32,37
39,85783,9,13,2,0,5,4,0,0,0,28,37
31,174789,9,13,0,5,3,4,1,0,0,40,37
21,457162,15,10,4,11,3,2,1,0,0,17,37
46,176026,9,13,0,3,1,4,1,27828,0,50,37
73,88594,11,9,0,3,1,4,0,0,0,35,37
41,311101,11,9,0,2,1,4,1,0,0,40,37
20,273989,11,9,4,13,3,4,1,0,0,40,37
27,370242,7,12,4,7,1,4,1,0,0,30,37
24,194630,9,13,4,9,1,4,1,0,0,35,37
20,313817,15,10,2,2,0,4,1,0,0,40,37
39,195843,8,11,4,6,3,4,1,0,0,40,37
27,203160,9,13,4,5,1,4,1,0,0,28,37
33,175856,1,7,2,11,0,4,1,0,0,60,37
33,75435,11,9,2,5,0,0,1,0,0,40,37
36,291676,6,5,2,2,0,2,1,0,0,40,37
55,192869,15,10,2,3,0,4,1,0,0,36,37
19,124464,15,10,4,6,3,4,1,0,0,40,37
35,98776,11,9,4,3,1,4,1,0,0,60,37
34,107960,4,3,4,6,2,1,1,0,0,40,23
62,312286,14,15,0,9,1,4,0,0,0,35,37
33,48520,15,10,2,2,0,4,1,0,0,40,37
39,224541,6,5,2,2,0,4,1,4386,0,55,24
36,237713,15,10,2,12,0,4,1,0,0,40,37
41,309990,9,13,0,0,4,4,0,0,0,33,37
39,37019,11,9,2,2,0,4,1,0,0,60,37
38,48976,11,9,2,9,5,4,0,0,1887,10,37
18,170183,11,9,4,0,3,4,0,0,0,10,37
61,142988,15,10,2,3,0,4,1,15024,0,45,37
20,163205,8,11,4,0,3,4,0,0,0,36,37
35,455379,11,9,2,13,0,4,1,0,0,65,37
27,104423,11,9,4,6,3,4,1,0,0,40,37
66,104936,0,6,6,7,4,4,0,0,0,38,37
21,542610,11,9,4,13,2,2,1,0,0,40,37
20,208117,15,10,4,7,3,4,0,0,0,18,37
34,105141,15,10,0,0,3,4,1,0,0,40,37
63,156120,4,3,4,8,1,4,0,0,0,50,37
20,38455,11,9,4,9,4,4,1,0,0,40,37
